,design,nr,ntheta,nx,panels,A,B
59,"design_8.833333333333332,12.5",12,25,30,675,1063622.4336374572,207283.94436873734
60,"design_8.833333333333332,12.5",12,30,10,510,1088373.8531920658,220843.4105158006
61,"design_8.833333333333332,12.5",12,30,15,600,1079510.3248346185,216088.9171707551
62,"design_8.833333333333332,12.5",12,30,20,660,1074424.9636714044,213594.20423020824
63,"design_8.833333333333332,12.5",12,30,25,750,1071066.1700335613,211903.71729260936
64,"design_8.833333333333332,12.5",12,30,30,810,1068688.0629198598,210730.93544135682
65,"design_8.833333333333332,12.5",12,35,10,595,1091622.4335276035,223164.84398420184
66,"design_8.833333333333332,12.5",12,35,15,700,1082744.1836253216,218443.3073680025
67,"design_8.833333333333332,12.5",12,35,20,770,1077652.11727743,215951.57436984268
68,"design_8.833333333333332,12.5",12,35,25,875,1074289.874615122,214264.9968789313
69,"design_8.833333333333332,12.5",12,35,30,945,1071910.8476533268,213096.87443826612
70,"design_8.833333333333332,12.5",12,40,10,680,1093776.1058882235,224887.18227975682
71,"design_8.833333333333332,12.5",12,40,15,800,1084892.1875176197,220170.07861254437
72,"design_8.833333333333332,12.5",12,40,20,880,1079786.8524278954,217686.01843156878
73,"design_8.833333333333332,12.5",12,40,25,1000,1076423.3286658241,216001.82802333665
74,"design_8.833333333333332,12.5",12,40,30,1080,1074033.628093205,214834.71410803354
75,"design_8.833333333333332,12.5",17,20,10,440,1076085.1809633637,214068.4491078411
76,"design_8.833333333333332,12.5",17,20,15,500,1067682.8842249787,209486.29571293326
77,"design_8.833333333333332,12.5",17,20,20,540,1062810.8377913404,207041.2881980693
78,"design_8.833333333333332,12.5",17,20,25,600,1059552.6339991826,205351.8803848215
79,"design_8.833333333333332,12.5",17,20,30,640,1057216.971669756,204163.29115447917
80,"design_8.833333333333332,12.5",17,25,10,550,1085315.2224458673,219459.4246757861
81,"design_8.833333333333332,12.5",17,25,15,625,1076877.1069299837,214879.31011106764
82,"design_8.833333333333332,12.5",17,25,20,675,1071997.6810137501,212418.52477739577
83,"design_8.833333333333332,12.5",17,25,25,750,1068725.2357365328,210739.1112098699
84,"design_8.833333333333332,12.5",17,25,30,800,1066380.3449952318,209546.76914311326
85,"design_8.833333333333332,12.5",17,30,10,660,1090425.382062119,222875.92471849348
86,"design_8.833333333333332,12.5",17,30,15,750,1081965.7543512755,218307.3583186655
87,"design_8.833333333333332,12.5",17,30,20,810,1077070.8189400763,215851.31585169586
88,"design_8.833333333333332,12.5",17,30,25,900,1073791.3767041147,214167.96307053423
89,"design_8.833333333333332,12.5",17,30,30,960,1071436.8725621481,212985.83559704694
90,"design_8.833333333333332,12.5",17,35,10,770,1093685.5420315787,225222.42706204377
91,"design_8.833333333333332,12.5",17,35,15,875,1085208.208006279,220651.45803021014
92,"design_8.833333333333332,12.5",17,35,20,945,1080307.7908616732,218212.82359543952
93,"design_8.833333333333332,12.5",17,35,25,1050,1077025.6665340334,216531.13017285947
94,"design_8.833333333333332,12.5",17,35,30,1120,1074671.303596556,215354.53497225046
95,"design_8.833333333333332,12.5",17,40,10,880,1095845.538289935,226951.07900701632
96,"design_8.833333333333332,12.5",17,40,15,1000,1087361.675242489,222388.41876278847
97,"design_8.833333333333332,12.5",17,40,20,1080,1082444.545366613,219946.54946014646
98,"design_8.833333333333332,12.5",17,40,25,1200,1079165.695518491,218272.64295716735
99,"design_8.833333333333332,12.5",17,40,30,1280,1076804.0316083292,217092.46666535025
100,"design_3.388888888888889,17.5",2,20,10,140,74800.03751633303,6306.467768571165
101,"design_3.388888888888889,17.5",2,20,15,200,72938.93060499334,5973.0930849904535
102,"design_3.388888888888889,17.5",2,20,20,240,71855.45914537243,5786.712027539801
103,"design_3.388888888888889,17.5",2,20,25,300,71150.40316424408,5667.400330182604
104,"design_3.388888888888889,17.5",2,20,30,340,70655.58234477621,5584.683141095997
105,"design_3.388888888888889,17.5",2,25,10,175,75509.43225544889,6444.2681180594955
106,"design_3.388888888888889,17.5",2,25,15,250,73652.31683028268,6110.294304678183
107,"design_3.388888888888889,17.5",2,25,20,300,72569.18900427854,5923.121740656569
108,"design_3.388888888888889,17.5",2,25,25,375,71861.82396285172,5803.2592535678305
109,"design_3.388888888888889,17.5",2,25,30,425,71367.77700796443,5720.218307077617
110,"design_3.388888888888889,17.5",2,30,10,210,75913.2195059273,6529.903270564352
111,"design_3.388888888888889,17.5",2,30,15,300,74061.21839248478,6194.478271052898
112,"design_3.388888888888889,17.5",2,30,20,360,72979.60255433642,6007.811496748556
113,"design_3.388888888888889,17.5",2,30,25,450,72271.91293439458,5886.750302425562
114,"design_3.388888888888889,17.5",2,30,30,510,71778.40583081263,5804.403268311162
