,design,nr,ntheta,nx,panels,A,B
323,"design_5.722222222222221,14.166666666666668",2,40,25,600,317611.4834284254,45480.12164307891
324,"design_5.722222222222221,14.166666666666668",2,40,30,680,316615.29296646686,45153.674410084444
325,"design_5.722222222222221,14.166666666666668",7,20,10,240,318809.75910566654,48568.49248984234
326,"design_5.722222222222221,14.166666666666668",7,20,15,300,314512.53866580443,47034.67831339606
327,"design_5.722222222222221,14.166666666666668",7,20,20,340,312063.1585625829,46204.185217457874
328,"design_5.722222222222221,14.166666666666668",7,20,25,400,310445.710568009,45659.594745558396
329,"design_5.722222222222221,14.166666666666668",7,20,30,440,309298.95457608433,45287.58860667542
330,"design_5.722222222222221,14.166666666666668",7,25,10,300,321643.26892965304,49727.48173657291
331,"design_5.722222222222221,14.166666666666668",7,25,15,375,317347.1003730094,48201.364898837994
332,"design_5.722222222222221,14.166666666666668",7,25,20,425,314892.91371230525,47368.545929194865
333,"design_5.722222222222221,14.166666666666668",7,25,25,500,313267.39800518076,46821.22155445311
334,"design_5.722222222222221,14.166666666666668",7,25,30,550,312122.53069875855,46449.057071098636
335,"design_5.722222222222221,14.166666666666668",7,30,10,360,323250.4417121365,50459.69972497328
336,"design_5.722222222222221,14.166666666666668",7,30,15,450,318960.9156959859,48938.150727776214
337,"design_5.722222222222221,14.166666666666668",7,30,20,510,316502.52652266837,48100.156121254906
338,"design_5.722222222222221,14.166666666666668",7,30,25,600,314877.3754622905,47555.63259776174
339,"design_5.722222222222221,14.166666666666668",7,30,30,660,313723.1227597271,47181.792539782
340,"design_5.722222222222221,14.166666666666668",7,35,10,420,324255.4465147345,50957.274776901126
341,"design_5.722222222222221,14.166666666666668",7,35,15,525,319976.5030391726,49442.838586350495
342,"design_5.722222222222221,14.166666666666668",7,35,20,595,317517.41501148464,48602.43470066917
343,"design_5.722222222222221,14.166666666666668",7,35,25,700,315890.86739737255,48058.05814324123
344,"design_5.722222222222221,14.166666666666668",7,35,30,770,314734.39612699166,47683.054585551516
345,"design_5.722222222222221,14.166666666666668",7,40,10,480,324941.7966320743,51328.77853348758
346,"design_5.722222222222221,14.166666666666668",7,40,15,600,320669.21203508775,49807.78920399383
347,"design_5.722222222222221,14.166666666666668",7,40,20,680,318217.3073432333,48971.31301874956
348,"design_5.722222222222221,14.166666666666668",7,40,25,800,316584.6839444415,48421.64007592421
349,"design_5.722222222222221,14.166666666666668",7,40,30,880,315428.8277797551,48052.80405354323
350,"design_5.722222222222221,14.166666666666668",12,20,10,340,319684.49656243855,49304.31752338747
351,"design_5.722222222222221,14.166666666666668",12,20,15,400,315695.8930446609,47870.51994876599
352,"design_5.722222222222221,14.166666666666668",12,20,20,440,313415.1120371315,47080.366643031695
353,"design_5.722222222222221,14.166666666666668",12,20,25,500,311889.18504723837,46553.61076979322
354,"design_5.722222222222221,14.166666666666668",12,20,30,540,310790.4618735388,46184.38334950088
355,"design_5.722222222222221,14.166666666666668",12,25,10,425,322514.3099853306,50464.769699998884
356,"design_5.722222222222221,14.166666666666668",12,25,15,500,318531.5202039005,49043.42589821096
357,"design_5.722222222222221,14.166666666666668",12,25,20,550,316245.67475282185,48249.623290806674
358,"design_5.722222222222221,14.166666666666668",12,25,25,625,314710.37934988237,47718.31403256788
359,"design_5.722222222222221,14.166666666666668",12,25,30,675,313608.22310215334,47352.11327085572
360,"design_5.722222222222221,14.166666666666668",12,30,10,510,324119.01271749916,51203.20779121734
361,"design_5.722222222222221,14.166666666666668",12,30,15,600,320138.83776126173,49779.88508311534
362,"design_5.722222222222221,14.166666666666668",12,30,20,660,317850.78359120816,48984.07038898291
363,"design_5.722222222222221,14.166666666666668",12,30,25,750,316317.9821961219,48456.3224053413
364,"design_5.722222222222221,14.166666666666668",12,30,30,810,315212.48307422985,48088.39157124793
365,"design_5.722222222222221,14.166666666666668",12,35,10,595,325124.5566197007,51701.1029814867
366,"design_5.722222222222221,14.166666666666668",12,35,15,700,321156.96691270923,50288.093567932694
367,"design_5.722222222222221,14.166666666666668",12,35,20,770,318870.7479497661,49491.06942962031
368,"design_5.722222222222221,14.166666666666668",12,35,25,875,317334.2635505729,48961.28451130618
369,"design_5.722222222222221,14.166666666666668",12,35,30,945,316224.9369385996,48591.41866545485
370,"design_5.722222222222221,14.166666666666668",12,40,10,680,325810.0349727805,52075.31488693225
371,"design_5.722222222222221,14.166666666666668",12,40,15,800,321841.05889703234,50648.62878488186
372,"design_5.722222222222221,14.166666666666668",12,40,20,880,319559.5236502705,49854.664405754964
373,"design_5.722222222222221,14.166666666666668",12,40,25,1000,318024.19347042305,49327.2591246725
374,"design_5.722222222222221,14.166666666666668",12,40,30,1080,316914.14026389824,48962.370441511375
375,"design_5.722222222222221,14.166666666666668",17,20,10,440,320184.40967194876,49625.54605973214
376,"design_5.722222222222221,14.166666666666668",17,20,15,500,316368.82304564986,48257.96451246387
377,"design_5.722222222222221,14.166666666666668",17,20,20,540,314195.8892440183,47503.99267941944
378,"design_5.722222222222221,14.166666666666668",17,20,25,600,312738.6598956754,46996.02603964042
379,"design_5.722222222222221,14.166666666666668",17,20,30,640,311680.74465002184,46637.77609200362
380,"design_5.722222222222221,14.166666666666668",17,25,10,550,323016.9775325232,50787.29307769594
381,"design_5.722222222222221,14.166666666666668",17,25,15,625,319204.5152442231,49430.171649670425
382,"design_5.722222222222221,14.166666666666668",17,25,20,675,317028.23291629023,48674.722045515104
383,"design_5.722222222222221,14.166666666666668",17,25,25,750,315564.36177202256,48163.34269323763
384,"design_5.722222222222221,14.166666666666668",17,25,30,800,314504.955175782,47808.069519280274
385,"design_5.722222222222221,14.166666666666668",17,30,10,660,324627.3977232302,51532.42582837399
386,"design_5.722222222222221,14.166666666666668",17,30,15,750,320811.6571056422,50168.432075988545
387,"design_5.722222222222221,14.166666666666668",17,30,20,810,318632.4223225648,49411.04358519098
388,"design_5.722222222222221,14.166666666666668",17,30,25,900,317169.8720559896,48903.08413618849
389,"design_5.722222222222221,14.166666666666668",17,30,30,960,316108.7002944737,48547.00232719126
390,"design_5.722222222222221,14.166666666666668",17,35,10,770,325630.63104212965,52028.63043777882
391,"design_5.722222222222221,14.166666666666668",17,35,15,875,321831.5083282993,50677.1237139843
392,"design_5.722222222222221,14.166666666666668",17,35,20,945,319653.08988279046,49916.29593028935
393,"design_5.722222222222221,14.166666666666668",17,35,25,1050,318187.2026209414,49408.97912092408
394,"design_5.722222222222221,14.166666666666668",17,35,30,1120,317123.5402529025,49049.60867076199
395,"design_5.722222222222221,14.166666666666668",17,40,10,880,326311.6682434052,52397.17301837822
396,"design_5.722222222222221,14.166666666666668",17,40,15,1000,322517.8484747913,51041.18092850816
397,"design_5.722222222222221,14.166666666666668",17,40,20,1080,320345.205538978,50282.71663289243
398,"design_5.722222222222221,14.166666666666668",17,40,25,1200,318878.1901705348,49774.975571573494
399,"design_5.722222222222221,14.166666666666668",17,40,30,1280,317811.9794794959,49418.64742326967
400,"design_4.944444444444445,10.833333333333332",2,20,10,140,207767.46839935472,40441.5150122972
401,"design_4.944444444444445,10.833333333333332",2,20,15,200,204913.38789744017,39207.932974789364
402,"design_4.944444444444445,10.833333333333332",2,20,20,240,203445.16772081176,38574.200351633415
403,"design_4.944444444444445,10.833333333333332",2,20,25,300,202571.39965846905,38183.18476141437
404,"design_4.944444444444445,10.833333333333332",2,20,30,340,201989.24754903628,37923.39166523623
405,"design_4.944444444444445,10.833333333333332",2,25,10,175,209770.88958749158,41415.64522716456
406,"design_4.944444444444445,10.833333333333332",2,25,15,250,206919.05532650687,40180.395698360284
407,"design_4.944444444444445,10.833333333333332",2,25,20,300,205443.78941192853,39542.45579736481
408,"design_4.944444444444445,10.833333333333332",2,25,25,375,204567.15027493422,39152.720858495304
409,"design_4.944444444444445,10.833333333333332",2,25,30,425,203984.50066566232,38893.20279465263
410,"design_4.944444444444445,10.833333333333332",2,30,10,210,210927.3103837855,42023.17757818503
411,"design_4.944444444444445,10.833333333333332",2,30,15,300,208077.42697911913,40793.28119697101
412,"design_4.944444444444445,10.833333333333332",2,30,20,360,206596.45047803532,40151.41407001071
413,"design_4.944444444444445,10.833333333333332",2,30,25,450,205718.97317719925,39763.50885162202
414,"design_4.944444444444445,10.833333333333332",2,30,30,510,205135.27337732416,39503.84293584067
415,"design_4.944444444444445,10.833333333333332",2,35,10,245,211660.62132810696,42439.30338846287
416,"design_4.944444444444445,10.833333333333332",2,35,15,350,208808.99874225986,41210.609553787435
417,"design_4.944444444444445,10.833333333333332",2,35,20,420,207326.29085305467,40567.78904364386
418,"design_4.944444444444445,10.833333333333332",2,35,25,525,206446.08642466497,40179.36829593667
419,"design_4.944444444444445,10.833333333333332",2,35,30,595,205858.49286443056,39920.36648073461
420,"design_4.944444444444445,10.833333333333332",2,40,10,280,212158.77498451693,42737.52391465669
421,"design_4.944444444444445,10.833333333333332",2,40,15,400,209311.09974398857,41512.942926854535
422,"design_4.944444444444445,10.833333333333332",2,40,20,480,207822.10302403086,40867.89728342379
423,"design_4.944444444444445,10.833333333333332",2,40,25,600,206941.0624131953,40478.67916183799
424,"design_4.944444444444445,10.833333333333332",2,40,30,680,206354.87052057477,40218.57139141719
425,"design_4.944444444444445,10.833333333333332",7,20,10,240,207440.9404218143,43099.99523079329
426,"design_4.944444444444445,10.833333333333332",7,20,15,300,204788.51072005773,41894.79785064285
427,"design_4.944444444444445,10.833333333333332",7,20,20,340,203251.75029448504,41221.007202099616
428,"design_4.944444444444445,10.833333333333332",7,20,25,400,202259.68202021855,40784.578815468245
429,"design_4.944444444444445,10.833333333333332",7,20,30,440,201560.86275664315,40482.92309069019
430,"design_4.944444444444445,10.833333333333332",7,25,10,300,209373.72600426685,44076.441769947596
431,"design_4.944444444444445,10.833333333333332",7,25,15,375,206719.6482652984,42875.49109613377
432,"design_4.944444444444445,10.833333333333332",7,25,20,425,205178.57700564736,42199.486253477044
433,"design_4.944444444444445,10.833333333333332",7,25,25,500,204184.11175288228,41765.73147589758
434,"design_4.944444444444445,10.833333333333332",7,25,30,550,203484.87770158416,41463.3189485164
435,"design_4.944444444444445,10.833333333333332",7,30,10,360,210481.76877370177,44690.235432199086
436,"design_4.944444444444445,10.833333333333332",7,30,15,450,207832.03773149144,43493.97018134187
437,"design_4.944444444444445,10.833333333333332",7,30,20,510,206287.54004835975,42816.926613174815
438,"design_4.944444444444445,10.833333333333332",7,30,25,600,205291.48085656774,42383.344731118035
439,"design_4.944444444444445,10.833333333333332",7,30,30,660,204589.81702002767,42081.04746952339
440,"design_4.944444444444445,10.833333333333332",7,35,10,420,211182.29352211393,45111.019974569324
441,"design_4.944444444444445,10.833333333333332",7,35,15,525,208535.53336717258,43916.11610692807
442,"design_4.944444444444445,10.833333333333332",7,35,20,595,206990.59781378452,43238.42921006851
443,"design_4.944444444444445,10.833333333333332",7,35,25,700,205991.90514654963,42804.97800808719
444,"design_4.944444444444445,10.833333333333332",7,35,30,770,205290.73565274128,42503.16521889536
445,"design_4.944444444444445,10.833333333333332",7,40,10,480,211662.41492893113,45412.48966715378
446,"design_4.944444444444445,10.833333333333332",7,40,15,600,209018.60649485613,44219.34029154306
447,"design_4.944444444444445,10.833333333333332",7,40,20,680,207475.04659605946,43542.62082573386
448,"design_4.944444444444445,10.833333333333332",7,40,25,800,206475.10344922432,43109.72911464545
449,"design_4.944444444444445,10.833333333333332",7,40,30,880,205769.42236487617,42807.73099100365
450,"design_4.944444444444445,10.833333333333332",12,20,10,340,208134.89673402594,43762.96085665802
451,"design_4.944444444444445,10.833333333333332",12,20,15,400,205673.64228535676,42636.321311582185
452,"design_4.944444444444445,10.833333333333332",12,20,20,440,204233.99447566902,41994.26134352618
453,"design_4.944444444444445,10.833333333333332",12,20,25,500,203288.28571150755,41566.2756422225
454,"design_4.944444444444445,10.833333333333332",12,20,30,540,202604.81746814091,41265.46002588998
455,"design_4.944444444444445,10.833333333333332",12,25,10,425,210068.95423553002,44747.72439109407
456,"design_4.944444444444445,10.833333333333332",12,25,15,500,207605.6212733949,43620.402057740874
457,"design_4.944444444444445,10.833333333333332",12,25,20,550,206160.49931791754,42976.54584133663
458,"design_4.944444444444445,10.833333333333332",12,25,25,625,205211.5311281422,42549.94936361652
459,"design_4.944444444444445,10.833333333333332",12,25,30,675,204526.94858467267,42249.21548093437
460,"design_4.944444444444445,10.833333333333332",12,30,10,510,211174.23158144392,45360.17171522391
461,"design_4.944444444444445,10.833333333333332",12,30,15,600,208717.40536283687,44242.976397237784
462,"design_4.944444444444445,10.833333333333332",12,30,20,660,207268.40868918397,43595.480759087324
463,"design_4.944444444444445,10.833333333333332",12,30,25,750,206319.8108619634,43170.597289860445
464,"design_4.944444444444445,10.833333333333332",12,30,30,810,205632.1970608843,42868.6114324293
465,"design_4.944444444444445,10.833333333333332",12,35,10,595,211875.4133028201,45783.0038314021
466,"design_4.944444444444445,10.833333333333332",12,35,15,700,209420.93302013577,44665.255082053925
467,"design_4.944444444444445,10.833333333333332",12,35,20,770,207972.2317545436,44016.64525865605
468,"design_4.944444444444445,10.833333333333332",12,35,25,875,207019.17977628793,43592.4874931302
469,"design_4.944444444444445,10.833333333333332",12,35,30,945,206333.46342085837,43291.85249141775
470,"design_4.944444444444445,10.833333333333332",12,40,10,680,212352.02863725414,46082.27222685015
471,"design_4.944444444444445,10.833333333333332",12,40,15,800,209902.92058594644,44970.943761331
472,"design_4.944444444444445,10.833333333333332",12,40,20,880,208455.17646658103,44321.415368090566
473,"design_4.944444444444445,10.833333333333332",12,40,25,1000,207501.53497658213,43897.15830833571
474,"design_4.944444444444445,10.833333333333332",12,40,30,1080,206814.43515554568,43595.745867824255
475,"design_4.944444444444445,10.833333333333332",17,20,10,440,208521.88575189098,44060.15584101226
476,"design_4.944444444444445,10.833333333333332",17,20,15,500,206172.45438402187,42984.930256998065
477,"design_4.944444444444445,10.833333333333332",17,20,20,540,204798.69909003048,42372.34062247472
478,"design_4.944444444444445,10.833333333333332",17,20,25,600,203892.2393483963,41958.470099077225
479,"design_4.944444444444445,10.833333333333332",17,20,30,640,203231.95684209367,41664.18367575619
480,"design_4.944444444444445,10.833333333333332",17,25,10,550,210456.94460624133,45043.94691086635
481,"design_4.944444444444445,10.833333333333332",17,25,15,625,208107.14403004778,43972.338566228806
482,"design_4.944444444444445,10.833333333333332",17,25,20,675,206728.4846913338,43355.49571873792
483,"design_4.944444444444445,10.833333333333332",17,25,25,750,205818.8251210025,42942.971670904124
484,"design_4.944444444444445,10.833333333333332",17,25,30,800,205159.01723172725,42649.05766515198
485,"design_4.944444444444445,10.833333333333332",17,30,10,660,211564.99130342464,45661.485271813646
486,"design_4.944444444444445,10.833333333333332",17,30,15,750,209215.77611391424,44591.8651082067
487,"design_4.944444444444445,10.833333333333332",17,30,20,810,207835.81695311735,43974.35225354408
488,"design_4.944444444444445,10.833333333333332",17,30,25,900,206926.6927514999,43564.85843102036
489,"design_4.944444444444445,10.833333333333332",17,30,30,960,206265.29158295202,43270.77138716012
490,"design_4.944444444444445,10.833333333333332",17,35,10,770,212267.56865841927,46084.16821008111
491,"design_4.944444444444445,10.833333333333332",17,35,15,875,209925.16709590293,45019.73144602166
492,"design_4.944444444444445,10.833333333333332",17,35,20,945,208541.5679472282,44397.25969194878
493,"design_4.944444444444445,10.833333333333332",17,35,25,1050,207630.7603436459,43988.9141271223
494,"design_4.944444444444445,10.833333333333332",17,35,30,1120,206968.0354616597,43695.39743645052
495,"design_4.944444444444445,10.833333333333332",17,40,10,880,212744.77583171005,46383.92423342818
496,"design_4.944444444444445,10.833333333333332",17,40,15,1000,210406.420169908,45322.889924124574
497,"design_4.944444444444445,10.833333333333332",17,40,20,1080,209024.63728007738,44701.330325979856
498,"design_4.944444444444445,10.833333333333332",17,40,25,1200,208111.5408445938,44291.60605695421
499,"design_4.944444444444445,10.833333333333332",17,40,30,1280,207449.2765653484,43998.62148815961
500,"design_7.277777777777779,15.833333333333332",2,20,10,140,640742.6940054658,78881.36113136163
501,"design_7.277777777777779,15.833333333333332",2,20,15,200,632443.5282157465,76271.01632670526
502,"design_7.277777777777779,15.833333333333332",2,20,20,240,628230.66276968,75002.27603385919
503,"design_7.277777777777779,15.833333333333332",2,20,25,300,625700.6338464371,74192.73864069172
504,"design_7.277777777777779,15.833333333333332",2,20,30,340,624026.8798767362,73669.8209144375
505,"design_7.277777777777779,15.833333333333332",2,25,10,175,646418.1570089965,81026.95931382813
506,"design_7.277777777777779,15.833333333333332",2,25,15,250,638128.6234564574,78416.8122124252
507,"design_7.277777777777779,15.833333333333332",2,25,20,300,633894.9520047683,77140.36453479955
508,"design_7.277777777777779,15.833333333333332",2,25,25,375,631357.1082921748,76336.52462697438
509,"design_7.277777777777779,15.833333333333332",2,25,30,425,629680.2081087001,75812.4201176422
510,"design_7.277777777777779,15.833333333333332",2,30,10,210,649667.4479132487,82370.10373607342
511,"design_7.277777777777779,15.833333333333332",2,30,15,300,641378.0469495673,79776.46148263665
512,"design_7.277777777777779,15.833333333333332",2,30,20,360,637128.659736975,78489.13185328453
513,"design_7.277777777777779,15.833333333333332",2,30,25,450,634587.815749475,77691.91764570621
514,"design_7.277777777777779,15.833333333333332",2,30,30,510,632907.1365023812,77164.47962261469
515,"design_7.277777777777779,15.833333333333332",2,35,10,245,651711.6009003104,83306.90538979288
516,"design_7.277777777777779,15.833333333333332",2,35,15,350,643416.9705445971,80718.58709729272
517,"design_7.277777777777779,15.833333333333332",2,35,20,420,639163.1304703817,79427.46244340783
518,"design_7.277777777777779,15.833333333333332",2,35,25,525,636613.5022506029,78629.91254874055
519,"design_7.277777777777779,15.833333333333332",2,35,30,595,634918.4692445253,78106.42125496434
520,"design_7.277777777777779,15.833333333333332",2,40,10,280,653064.9905096927,83983.64494169637
521,"design_7.277777777777779,15.833333333333332",2,40,15,400,644780.7035678938,81405.40737586834
522,"design_7.277777777777779,15.833333333333332",2,40,20,480,640507.7914650356,80108.89162774084
523,"design_7.277777777777779,15.833333333333332",2,40,25,600,637956.2902721147,79310.47729085389
524,"design_7.277777777777779,15.833333333333332",2,40,30,680,636266.3583669811,78784.356113254
525,"design_7.277777777777779,15.833333333333332",7,20,10,240,637515.6156749439,84387.08640645738
526,"design_7.277777777777779,15.833333333333332",7,20,15,300,629855.9960267143,81786.11624051559
527,"design_7.277777777777779,15.833333333333332",7,20,20,340,625449.7994562325,80412.7879724623
528,"design_7.277777777777779,15.833333333333332",7,20,25,400,622573.9326326038,79501.11791903112
529,"design_7.277777777777779,15.833333333333332",7,20,30,440,620556.0281450182,78885.82936294339
530,"design_7.277777777777779,15.833333333333332",7,25,10,300,642984.4771863663,86538.06443646383
531,"design_7.277777777777779,15.833333333333332",7,25,15,375,635305.0626633094,83949.4540908695
532,"design_7.277777777777779,15.833333333333332",7,25,20,425,630886.6359932394,82573.78954114909
533,"design_7.277777777777779,15.833333333333332",7,25,25,500,628001.5020064692,81670.0673074659
534,"design_7.277777777777779,15.833333333333332",7,25,30,550,625982.1025979557,81053.43426837296
535,"design_7.277777777777779,15.833333333333332",7,30,10,360,646052.2416302679,87890.69974589277
536,"design_7.277777777777779,15.833333333333332",7,30,15,450,638381.0963387649,85311.68244884993
537,"design_7.277777777777779,15.833333333333332",7,30,20,510,633953.0201320009,83931.56100688419
538,"design_7.277777777777779,15.833333333333332",7,30,25,600,631062.4426667407,83034.15296529271
539,"design_7.277777777777779,15.833333333333332",7,30,30,660,629034.5066842362,82412.25994762045
540,"design_7.277777777777779,15.833333333333332",7,35,10,420,647976.0446232685,88837.45526442374
541,"design_7.277777777777779,15.833333333333332",7,35,15,525,640314.0748148287,86265.93143946999
542,"design_7.277777777777779,15.833333333333332",7,35,20,595,635884.9534355124,84885.88242181619
543,"design_7.277777777777779,15.833333333333332",7,35,25,700,632985.876378467,83984.3529067905
544,"design_7.277777777777779,15.833333333333332",7,35,30,770,630960.0884912675,83370.60913568041
545,"design_7.277777777777779,15.833333333333332",7,40,10,480,649266.3802964772,89525.13773658763
546,"design_7.277777777777779,15.833333333333332",7,40,15,600,641612.5622272721,86959.0349051152
547,"design_7.277777777777779,15.833333333333332",7,40,20,680,637188.0597398175,85579.88486381456
548,"design_7.277777777777779,15.833333333333332",7,40,25,800,634283.692318294,84679.37011890029
549,"design_7.277777777777779,15.833333333333332",7,40,30,880,632244.5422218747,84063.24446745512
550,"design_7.277777777777779,15.833333333333332",12,20,10,340,639252.1889517263,85798.55463046413
551,"design_7.277777777777779,15.833333333333332",12,20,15,400,632140.4810220071,83351.98306145438
552,"design_7.277777777777779,15.833333333333332",12,20,20,440,628023.89892769,82038.24763214264
553,"design_7.277777777777779,15.833333333333332",12,20,25,500,625291.9783355244,81137.50343655166
554,"design_7.277777777777779,15.833333333333332",12,20,30,540,623320.560168969,80520.34256164293
555,"design_7.277777777777779,15.833333333333332",12,25,10,425,644702.2920370102,87969.81322423837
556,"design_7.277777777777779,15.833333333333332",12,25,15,500,637584.1134421446,85520.77716719997
557,"design_7.277777777777779,15.833333333333332",12,25,20,550,633449.9559128515,84202.6562711885
558,"design_7.277777777777779,15.833333333333332",12,25,25,625,630707.7740338775,83308.85133197748
559,"design_7.277777777777779,15.833333333333332",12,25,30,675,628733.3357226683,82692.6428517392
560,"design_7.277777777777779,15.833333333333332",12,30,10,510,647769.2912016689,89324.34264139483
561,"design_7.277777777777779,15.833333333333332",12,30,15,600,640661.2876457479,86899.39139425005
562,"design_7.277777777777779,15.833333333333332",12,30,20,660,636519.3750505162,85572.17367930704
563,"design_7.277777777777779,15.833333333333332",12,30,25,750,633775.2705894295,84683.94610386743
564,"design_7.277777777777779,15.833333333333332",12,30,30,810,631793.5673301852,84062.22590505339
565,"design_7.277777777777779,15.833333333333332",12,35,10,595,649694.6380198904,90280.2699303055
566,"design_7.277777777777779,15.833333333333332",12,35,15,700,642594.7829307681,87857.18341195518
567,"design_7.277777777777779,15.833333333333332",12,35,20,770,638455.5848330348,86527.2475999231
568,"design_7.277777777777779,15.833333333333332",12,35,25,875,635696.7261670469,85641.3399890608
569,"design_7.277777777777779,15.833333333333332",12,35,30,945,633718.7123078246,85023.45934182571
570,"design_7.277777777777779,15.833333333333332",12,40,10,680,650974.0606934156,90968.20904262271
571,"design_7.277777777777779,15.833333333333332",12,40,15,800,643885.6496895942,88556.4936042333
572,"design_7.277777777777779,15.833333333333332",12,40,20,880,639750.4114135752,87224.72272856404
573,"design_7.277777777777779,15.833333333333332",12,40,25,1000,636989.9676032395,86338.45253190197
574,"design_7.277777777777779,15.833333333333332",12,40,30,1080,635008.3995772701,85720.10534416248
575,"design_7.277777777777779,15.833333333333332",17,20,10,440,640272.8279455174,86435.91559452837
576,"design_7.277777777777779,15.833333333333332",17,20,15,500,633484.3370088966,84093.35843167057
577,"design_7.277777777777779,15.833333333333332",17,20,20,540,629556.7643186098,82836.28728819598
578,"design_7.277777777777779,15.833333333333332",17,20,25,600,626940.4021802456,81963.77209666127
579,"design_7.277777777777779,15.833333333333332",17,20,30,640,625040.0611486317,81357.8627002742
580,"design_7.277777777777779,15.833333333333332",17,25,10,550,645727.2507503614,88606.46164840933
581,"design_7.277777777777779,15.833333333333332",17,25,15,625,638933.3832416278,86270.9620607842
582,"design_7.277777777777779,15.833333333333332",17,25,20,675,634994.9197654185,85005.88958643912
583,"design_7.277777777777779,15.833333333333332",17,25,25,750,632366.9746574064,84139.24522096095
584,"design_7.277777777777779,15.833333333333332",17,25,30,800,630467.8006039357,83534.13860434605
585,"design_7.277777777777779,15.833333333333332",17,30,10,660,648797.3532074628,89970.67277183308
586,"design_7.277777777777779,15.833333333333332",17,30,15,750,642001.4586203514,87642.53978053288
587,"design_7.277777777777779,15.833333333333332",17,30,20,810,638059.1437659211,86375.93772723676
588,"design_7.277777777777779,15.833333333333332",17,30,25,900,635429.7920184034,85517.95825439169
589,"design_7.277777777777779,15.833333333333332",17,30,30,960,633525.3067068366,84908.91093699714
590,"design_7.277777777777779,15.833333333333332",17,35,10,770,650723.0962103381,90930.11328406101
591,"design_7.277777777777779,15.833333333333332",17,35,15,875,643942.1381168296,88610.84025303114
592,"design_7.277777777777779,15.833333333333332",17,35,20,945,639995.0313681778,87334.98525721484
593,"design_7.277777777777779,15.833333333333332",17,35,25,1050,637357.4443363273,86477.22277285247
594,"design_7.277777777777779,15.833333333333332",17,35,30,1120,635450.6280143396,85874.73005294902
595,"design_7.277777777777779,15.833333333333332",17,40,10,880,652002.924726385,91613.5947121846
596,"design_7.277777777777779,15.833333333333332",17,40,15,1000,645234.859370484,89307.25906562501
597,"design_7.277777777777779,15.833333333333332",17,40,20,1080,641289.8586679251,88028.63240767445
598,"design_7.277777777777779,15.833333333333332",17,40,25,1200,638649.5261394797,87170.60814900664
599,"design_7.277777777777779,15.833333333333332",17,40,30,1280,636741.1733130853,86567.21213994098
600,"design_8.055555555555554,7.5",2,20,10,140,812878.8389227206,236969.18602489098
601,"design_8.055555555555554,7.5",2,20,15,200,808709.4414530762,233735.79274646804
602,"design_8.055555555555554,7.5",2,20,20,240,806653.9746815676,232148.17538452844
603,"design_8.055555555555554,7.5",2,20,25,300,805407.1136945867,231163.31880637942
604,"design_8.055555555555554,7.5",2,20,30,340,804603.1868775097,230532.24726293518
605,"design_8.055555555555554,7.5",2,25,10,175,820932.4185165159,242409.47287925673
606,"design_8.055555555555554,7.5",2,25,15,250,816768.0559336743,239179.70007374836
607,"design_8.055555555555554,7.5",2,25,20,300,814710.8770792328,237593.517834305
608,"design_8.055555555555554,7.5",2,25,25,375,813458.0730772757,236603.9766398895
609,"design_8.055555555555554,7.5",2,25,30,425,812657.0570822769,235982.44731364178
610,"design_8.055555555555554,7.5",2,30,10,210,825579.3704017748,245952.10541185236
611,"design_8.055555555555554,7.5",2,30,15,300,821416.3713190765,242737.59380628102
612,"design_8.055555555555554,7.5",2,30,20,360,819349.6815922788,241152.96440345532
613,"design_8.055555555555554,7.5",2,30,25,450,818106.9377289992,240167.86297911213
614,"design_8.055555555555554,7.5",2,30,30,510,817306.3327878335,239541.9665704139
615,"design_8.055555555555554,7.5",2,35,10,245,828481.733005323,248314.95612581188
616,"design_8.055555555555554,7.5",2,35,15,350,824263.0183477708,245108.44275946825
617,"design_8.055555555555554,7.5",2,35,20,420,822196.720473791,243514.73722844402
618,"design_8.055555555555554,7.5",2,35,25,525,820942.2178945667,242537.40235879977
619,"design_8.055555555555554,7.5",2,35,30,595,820134.8204687223,241910.88306438326
620,"design_8.055555555555554,7.5",2,40,10,280,830438.3232270427,250006.2100538678
621,"design_8.055555555555554,7.5",2,40,15,400,826233.7230444668,246803.81628748757
622,"design_8.055555555555554,7.5",2,40,20,480,824152.8856375039,245213.69000325503
623,"design_8.055555555555554,7.5",2,40,25,600,822895.1708155384,244235.40742058345
624,"design_8.055555555555554,7.5",2,40,30,680,822083.0289613738,243608.9756581214
625,"design_8.055555555555554,7.5",7,20,10,240,805294.4391948681,263461.83208552387
626,"design_8.055555555555554,7.5",7,20,15,300,799737.6806266791,259398.53402134258
627,"design_8.055555555555554,7.5",7,20,20,340,796781.5801448423,257293.3439525722
628,"design_8.055555555555554,7.5",7,20,25,400,794954.8992823429,255985.47760594467
629,"design_8.055555555555554,7.5",7,20,30,440,793756.1702240643,255126.4735313782
630,"design_8.055555555555554,7.5",7,25,10,300,813189.738700099,269140.68987254717
631,"design_8.055555555555554,7.5",7,25,15,375,807611.0592695107,265070.34157799755
632,"design_8.055555555555554,7.5",7,25,20,425,804650.4025187934,262970.4643113006
633,"design_8.055555555555554,7.5",7,25,25,500,802816.6561339406,261659.1363499959
634,"design_8.055555555555554,7.5",7,25,30,550,801615.328514597,260802.39721489733
635,"design_8.055555555555554,7.5",7,30,10,360,817681.180747213,272816.25672965986
