,ST,ST_conf
omega,0.029902043819202657,0.0678604520392912
wave_heading,0.42914950801291996,0.28147204870818543
wave_amplitude,0.0011109960304980138,0.0028981079214680707
interest,0.0017187691460191956,0.003778076966140721
n_avail,0.00023391838897649382,0.00047988341067139854
L,0.00359400174670572,0.00948586941339029
array_scaling_factor,0.0005338951806115905,0.0018578885326119654
