,S1,S1_conf
omega,-0.00018482769613037598,0.000610918050847556
wave_heading,0.5963826151883499,1.1700129389444534
wave_amplitude,-1.0023022312310164e-05,0.00015752129158717906
interest,-0.0001627494045238494,0.0003636306859828249
n_avail,1.2957078434294056e-05,4.512938036085019e-05
L,2.6566650776824085e-05,6.739467526617783e-05
array_scaling_factor,-4.823841425676427e-07,3.0684800623285564e-05
Fmax,-2.4956216281405788e-09,3.1648834302051864e-08
