,ST,ST_conf
omega,0.9037118994690375,0.4531709875080435
wave_heading,0.0,0.0
wave_amplitude,2.4393762651922758e-18,5.721478504578973e-18
interest,0.052301794928987594,0.08084096214633293
n_avail,0.001919230209761144,0.003046262831732554
L,0.0057603722038589485,0.011514557843334425
array_scaling_factor,0.00011991483050162055,0.00020466214217796375
